mid,formula,nsites,pred_log_sigma
mp:5257,Ba2LiMn2(P2O7)2,23,-3.784715175628662
mp:12253,Ba3(LiBi)4,11,-3.785120964050293
mp:5378,LiFeP3(H7O8)2,70,-3.7855935096740723
mp:6072,NaLiTiAl(PO4)3,38,-3.787266969680786
mp:6285,Li2CuF6,18,-3.787517786026001
mp:2419,LiLa4Ho4O12,21,-3.7882161140441895
mp:3396,LiCu(PO3)3,28,-3.788400888442993
mp:17628,Li3Ti2(PO4)3,40,-3.788412094116211
mp:1976,Li(CeGe)4,36,-3.7897043228149414
mp:984,BaLiP,3,-3.7935590744018555
mp:1873,LiHS,24,-3.796076774597168
mp:2060,LiFeF4,48,-3.7963085174560547
mp:5303,LiCo2P4H3O16,26,-3.799001932144165
mp:9667,LiCe(PO3)4,36,-3.800302028656006
mp:17629,Li3Ti(PO4)2,28,-3.803010940551758
mp:6362,Li2Fe3F8,52,-3.806154251098633
mp:3302,LiP3PbO9,28,-3.807997226715088
mp:6449,Li2MnF6,27,-3.8095502853393555
mp:5134,LiMg30BO31,63,-3.8106093406677246
mp:2134,LiFeF4,6,-3.8106307983398438
mp:714,LiFeF3,30,-3.812098741531372
mp:3695,Rb2LiPdF6,10,-3.8124608993530273
mp:3546,Rb2LiYBr6,10,-3.8169736862182617
mp:3803,LiMg30BO31,63,-3.8172435760498047
mp:586,LiMn2F7,40,-3.8172693252563477
mp:6827,Li2Cu2F5,36,-3.8173437118530273
mp:12027,BaLi4,30,-3.8203485012054443
mp:8374,Li2Co4OF8,30,-3.820802688598633
mp:3609,K2LiCoF6,10,-3.8224830627441406
mp:7341,Li2CrFeAs2,6,-3.822842597961426
mp:5203,LiAu4Se4(ClO3)4,25,-3.8263134956359863
mp:3735,Rb2LiAuCl6,10,-3.8269906044006348
mp:2100,LiCu2F5,16,-3.8303656578063965
mp:12193,Li4MnF7,12,-3.8321285247802734
mp:6576,Li2Cu7F16,25,-3.832181453704834
mp:437,LiGdSe2,4,-3.832437515258789
mp:5508,LiTiH6(OF3)2,16,-3.833010196685791
mp:3628,K2LiRhF6,10,-3.8338327407836914
mp:241,LiCu2F7,20,-3.834667444229126
mp:4371,LiMn(PO3)4,72,-3.834703207015991
mp:11139,Li3RhF6,10,-3.8348169326782227
mp:5574,LiCuPO4F,16,-3.835686206817627
mp:3634,K2LiCeCl6,10,-3.8358612060546875
mp:3793,LiHfMg30O31,63,-3.8365821838378906
mp:18102,Li3Ti2(PO4)3,80,-3.836740016937256
mp:11324,Li3Mo3(PO4)4,78,-3.838002920150757
mp:6633,Li2MgHg,4,-3.8385767936706543
mp:298,LiAgF4,24,-3.8396763801574707
mp:6100,RbLiMnP3HO10,34,-3.8397436141967773
mp:6351,Li2Fe3F8,26,-3.841111183166504
mp:7042,Li2Cu3F8,26,-3.8433401584625244
mp:12081,Li4Cu3F12,76,-3.8447742462158203
mp:872,LiHoS2,4,-3.8458545207977295
